epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,530.673,0.56742,0.84636,0.96711,0.93059,0.84534,0.92588,0.83654,0.41233,0.42611,0.83258,0.00333099,0.00333099,0.00333099
2,1024.52,0.59413,0.89935,0.97373,0.87519,0.79456,0.88291,0.78028,0.46391,0.54214,0.85706,0.0064444,0.0064444,0.0064444
3,1537.66,0.66341,1.10919,1.00467,0.80062,0.6727,0.7729,0.6648,0.54885,0.83056,0.90585,0.00933781,0.00933781,0.00933781
4,2035.98,0.72568,1.36189,1.03689,0.77213,0.64859,0.7467,0.63936,0.56661,0.90079,0.91954,0.00901,0.00901,0.00901
5,2527.81,0.72701,1.36029,1.03424,0.7789,0.65634,0.74669,0.63746,0.57541,0.88328,0.92475,0.00868,0.00868,0.00868
6,3017.88,0.7222,1.3387,1.03529,0.7843,0.66068,0.76414,0.65745,0.56267,0.86632,0.91607,0.00835,0.00835,0.00835
7,3507.38,0.71584,1.29682,1.03161,0.78837,0.68727,0.77988,0.67334,0.54536,0.81858,0.90557,0.00802,0.00802,0.00802
8,3997.82,0.70445,1.26145,1.02462,0.81526,0.69229,0.79117,0.68616,0.5344,0.77113,0.90028,0.00769,0.00769,0.00769
9,4486.7,0.69118,1.21247,1.01811,0.84699,0.71847,0.82373,0.71589,0.52089,0.71128,0.89406,0.00736,0.00736,0.00736
10,4976.02,0.67867,1.17543,1.01371,0.85338,0.72728,0.83205,0.72501,0.51075,0.67036,0.89165,0.00703,0.00703,0.00703
11,5470.02,0.67104,1.13658,1.0115,0.87062,0.75421,0.85234,0.74816,0.49312,0.62985,0.88154,0.0067,0.0067,0.0067
12,5970.08,0.66079,1.10014,1.00507,0.87274,0.76378,0.85986,0.75735,0.48407,0.59986,0.87491,0.00637,0.00637,0.00637
13,6469.78,0.6503,1.06375,0.99983,0.87927,0.77888,0.87312,0.77054,0.47076,0.57227,0.87048,0.00604,0.00604,0.00604
14,6969.66,0.64287,1.03883,0.9954,0.89916,0.77276,0.87894,0.78081,0.46119,0.54833,0.86276,0.00571,0.00571,0.00571
15,7468.54,0.63274,1.00093,0.99166,0.90712,0.79917,0.89186,0.79434,0.45194,0.51916,0.85995,0.00538,0.00538,0.00538
16,7968.09,0.62609,0.98748,0.99167,0.90527,0.81849,0.90026,0.80415,0.44142,0.49251,0.85184,0.00505,0.00505,0.00505
17,8468.13,0.61793,0.94596,0.98695,0.91894,0.82571,0.91069,0.81522,0.43332,0.46477,0.85012,0.00472,0.00472,0.00472
18,8967.43,0.6021,0.91244,0.97876,0.93852,0.8329,0.91729,0.82358,0.42278,0.44463,0.84372,0.00439,0.00439,0.00439
19,9466.25,0.59826,0.88738,0.977,0.93089,0.84566,0.92325,0.83152,0.41737,0.42784,0.84134,0.00406,0.00406,0.00406
20,9965.22,0.59065,0.85987,0.97315,0.93078,0.85768,0.93102,0.83962,0.40859,0.40836,0.83687,0.00373,0.00373,0.00373
21,10481.2,0.49625,0.62535,0.91289,0.93043,0.85917,0.93028,0.8389,0.40969,0.40634,0.83509,0.0034,0.0034,0.0034
22,10978.7,0.48421,0.58601,0.90526,0.94077,0.86726,0.93663,0.84733,0.40104,0.39038,0.83088,0.00307,0.00307,0.00307
23,11476.5,0.47194,0.55058,0.90043,0.9442,0.87568,0.94191,0.85438,0.39311,0.3723,0.82658,0.00274,0.00274,0.00274
24,11973.2,0.46078,0.5219,0.89369,0.94265,0.88474,0.94558,0.85973,0.38529,0.35732,0.82252,0.00241,0.00241,0.00241
25,12470.5,0.44982,0.48894,0.88904,0.95388,0.88907,0.94942,0.86665,0.37886,0.34439,0.81846,0.00208,0.00208,0.00208
26,12968.3,0.43728,0.46035,0.88272,0.95468,0.89338,0.95292,0.87128,0.37287,0.33214,0.81632,0.00175,0.00175,0.00175
27,13465.5,0.429,0.43753,0.8774,0.95827,0.89774,0.95483,0.87501,0.36685,0.32369,0.81236,0.00142,0.00142,0.00142
28,13962.9,0.4186,0.41421,0.87635,0.95878,0.90213,0.9571,0.87808,0.36197,0.31634,0.80965,0.00109,0.00109,0.00109
29,14459.7,0.40668,0.39235,0.8686,0.95799,0.90911,0.95825,0.88092,0.35781,0.30872,0.80745,0.00076,0.00076,0.00076
30,14956.4,0.39888,0.37654,0.86604,0.96303,0.90546,0.95982,0.88257,0.35567,0.30463,0.80594,0.00043,0.00043,0.00043
