epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,450.276,0.72792,1.82818,1.04196,0.61595,0.50898,0.56231,0.48563,0.55986,1.28526,0.91553,3.73044e-05,3.73044e-05,3.73044e-05
2,895.836,0.72217,1.75208,1.03793,0.63394,0.5086,0.57194,0.49217,0.56822,1.281,0.91722,7.21747e-05,7.21747e-05,7.21747e-05
3,1340.66,0.7262,1.72569,1.03798,0.62182,0.51697,0.5755,0.49292,0.57951,1.27202,0.92674,0.000104581,0.000104581,0.000104581
4,1775.08,0.71194,1.63883,1.02963,0.65452,0.5414,0.60836,0.52138,0.57397,1.22352,0.92318,0.000100912,0.000100912,0.000100912
5,2227.1,0.70071,1.56174,1.02513,0.7061,0.56217,0.6478,0.55423,0.57141,1.11953,0.92527,9.7216e-05,9.7216e-05,9.7216e-05
6,2661.55,0.69322,1.47107,1.02138,0.72072,0.58613,0.68239,0.59063,0.54457,1.03593,0.90694,9.352e-05,9.352e-05,9.352e-05
7,3094.83,0.72593,1.53602,1.03782,0.76228,0.61341,0.71439,0.6192,0.54204,0.99428,0.90947,8.9824e-05,8.9824e-05,8.9824e-05
8,3569.95,0.70904,1.48025,1.03094,0.76896,0.64296,0.74185,0.64548,0.52967,0.91647,0.89789,8.6128e-05,8.6128e-05,8.6128e-05
9,4032.72,0.69815,1.41656,1.0244,0.78404,0.67616,0.7696,0.67263,0.51743,0.85479,0.89127,8.2432e-05,8.2432e-05,8.2432e-05
10,4487.94,0.69449,1.35333,1.02092,0.80975,0.67711,0.7822,0.68317,0.51083,0.8225,0.88868,7.8736e-05,7.8736e-05,7.8736e-05
11,4948.91,0.68484,1.30929,1.01686,0.83117,0.70923,0.81239,0.71535,0.49533,0.75745,0.8825,7.504e-05,7.504e-05,7.504e-05
12,5429.39,0.66936,1.26899,1.01038,0.8456,0.72412,0.82604,0.72785,0.48852,0.71873,0.87707,7.1344e-05,7.1344e-05,7.1344e-05
13,5898.15,0.66081,1.21761,1.00444,0.85459,0.74448,0.8433,0.74643,0.47936,0.68036,0.87161,6.7648e-05,6.7648e-05,6.7648e-05
14,6372.73,0.65854,1.18489,1.00148,0.86591,0.75778,0.8559,0.75968,0.47029,0.64638,0.86671,6.3952e-05,6.3952e-05,6.3952e-05
15,6825.67,0.65033,1.14691,1.00002,0.8885,0.76543,0.8663,0.76943,0.46578,0.61922,0.86495,6.0256e-05,6.0256e-05,6.0256e-05
16,7278,0.63798,1.09781,0.99087,0.8895,0.77276,0.87341,0.7762,0.46014,0.59253,0.86154,5.656e-05,5.656e-05,5.656e-05
17,7719.56,0.63959,1.07517,0.99297,0.89687,0.78626,0.88762,0.79057,0.45189,0.56617,0.85793,5.2864e-05,5.2864e-05,5.2864e-05
18,8163.43,0.62874,1.04619,0.98985,0.90146,0.80416,0.89452,0.79978,0.44409,0.5468,0.85362,4.9168e-05,4.9168e-05,4.9168e-05
19,8607.9,0.62183,1.01605,0.98603,0.90578,0.81072,0.90154,0.80734,0.44051,0.52646,0.85234,4.5472e-05,4.5472e-05,4.5472e-05
20,9050.77,0.61333,0.99113,0.98047,0.91362,0.82875,0.91042,0.81514,0.43396,0.50428,0.84747,4.1776e-05,4.1776e-05,4.1776e-05
21,9516.66,0.50236,0.70704,0.91416,0.92111,0.82086,0.91133,0.81617,0.43573,0.49895,0.84612,3.808e-05,3.808e-05,3.808e-05
22,9956.46,0.48738,0.66049,0.9062,0.92817,0.83547,0.91984,0.82657,0.42881,0.47766,0.84196,3.4384e-05,3.4384e-05,3.4384e-05
23,10391.5,0.47904,0.6293,0.90052,0.9277,0.84599,0.92428,0.8333,0.42152,0.46202,0.83722,3.0688e-05,3.0688e-05,3.0688e-05
24,10818.9,0.46937,0.60868,0.89848,0.9267,0.85545,0.92934,0.83944,0.41591,0.44552,0.83436,2.6992e-05,2.6992e-05,2.6992e-05
25,11245.3,0.46714,0.57691,0.89389,0.93833,0.85633,0.93344,0.84462,0.41089,0.43147,0.83127,2.3296e-05,2.3296e-05,2.3296e-05
26,11674.4,0.45891,0.56078,0.89234,0.94006,0.86242,0.93635,0.84854,0.40709,0.42261,0.82959,1.96e-05,1.96e-05,1.96e-05
27,12142.3,0.45259,0.54079,0.88802,0.94367,0.86481,0.93907,0.85209,0.40284,0.41335,0.8273,1.5904e-05,1.5904e-05,1.5904e-05
28,12622.3,0.44648,0.52319,0.88597,0.94668,0.86724,0.94162,0.85461,0.39997,0.40463,0.82572,1.2208e-05,1.2208e-05,1.2208e-05
29,13134.7,0.44179,0.5094,0.88327,0.9471,0.87165,0.94308,0.85645,0.39819,0.39886,0.82447,8.512e-06,8.512e-06,8.512e-06
30,13618.4,0.44133,0.49816,0.8804,0.94508,0.87697,0.94497,0.85865,0.39596,0.39423,0.82306,4.816e-06,4.816e-06,4.816e-06
